"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C1,C18,C7,C11,C3,C19";"CP_Radial_D5.0mm_P2.50mm";7;"10uF";;;
2;"R6,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2k2";;;
3;"C6,C5,C9,C8,C4,C10";"CP_Radial_D5.0mm_P2.50mm";6;"0.1uF";;;
4;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"680";;;
5;"C14,C16,C15,C20,C21,C17";"CP_Radial_D5.0mm_P2.50mm";6;"1uF";;;
6;"U2,U4";"DIP-14_W7.62mm_LongPads";2;"TL074";;;
7;"R16,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"330";;;
8;"RV1";"Potentiometer_Alps_RK163_Single_Horizontal";1;"5k";;;
9;"R13,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"5k1";;;
10;"R8,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1Meg";;;
11;"R12,R11,R2,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"220k";;;
12;"R28,R26,R27,R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10";;;
13;"R18,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"470";;;
14;"J9";"PinHeader_1x01_P2.54mm_Vertical";1;"E-";;;
15;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Power";;;
16;"RV3";"Potentiometer_Alps_RK163_Single_Horizontal";1;"50k";;;
17;"R10,R9,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"100k";;;
18;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"HPF_Out";;;
19;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Notch_Out";;;
20;"J8";"PinHeader_1x01_P2.54mm_Vertical";1;"E+";;;
21;"C22,C24,C25,C23";"CP_Radial_D5.0mm_P2.50mm";4;"2.2uF";;;
22;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"Raw_EEG";;;
23;"U3";"DIP-8_W7.62mm_LongPads";1;"ICL7660";;;
24;"R17,R19,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"1k";;;
25;"R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"300k";;;
26;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Inst_Gnd_J";;;
27;"U1";"DIP-8_W7.62mm_LongPads";1;"AD620";;;
28;"C13,C12";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"1nF";;;
29;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"LPF_Out";;;
30;"R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"470k";;;
31;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Output";;;
32;"J10";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
33;"J2";"WENZHOU_PJ324M";1;"~";;;
34;"RV2";"Potentiometer_Alps_RK163_Single_Horizontal";1;"500k";;;
